classificacao|comentario
negativo|Em resposta a @juliasoihet pois é, eu tive 1 semana arrebentado na época do carnaval e com tosse por 15~20 dias, fiquei pensando a mesma coisa
negativo|A falta de ar que eu queria
negativo|Por favor eu não posso ficar com falta de ar eu preciso usar a máscara
negativo|tô aqui no banco morrendo de cólica e falta d ar
negativo|Sim to espirrando e com dor de garganta.... em tempos de covid é de ficar com o cu na mão Citar Tweet +a @maisa · 5 de mai Aí oh, mudou o tempo meu nariz entupiu. Bom dia rinitudos, já sentiram a mudança de tempo??? Aqui tá frio e o meu nariz já deu alerta kkkk Mostrar esta sequência
negativo|esse teu aroma chega da tosse
negativo|adolescente de 15 anos: NÃO PRECISO DOS MEUS PAIS PRA NADA! eu com 20 anos pedindo pra minha mãe ve se eu tô com febre:
negativo|Agora eu arrumei uma tosse por causa da mudança de clima (ou será coronga???)
negativo|Sonhei que tava engolindo uma ponta de grafite inteira ( não sei pq ) e acordei com dor na garganta Freud????????
negativo|ain que homem bonito por favor peço que apague o tweet tem pessoas que vê isso e fica com falta de ar palpitação taquicardia e pode até chegar a ser fatal! o mundo precisa de mais empatia Citar Tweet Insta:@𝕸𝖎𝖙𝖏𝖆𝖓𝖘_07 @V_Mit07 · 10 h Colorindo as ondinhas Mostrar esta sequência
negativo|sua pussy sob a minha posse a lingua rasga rasga ce devolve engasga e tosse
negativo|Importante informação sobre as libélulas: são predadores carnívoros que exercem uma função vital no ecossistema. Afinal, ingerem grande número de mosquitos e evitam doenças como febre amarela ou malária.
negativo|Acabei de acordar de um sonho em que o @coldplaylirics fazia uma Live. Estou agora vendo todos os clipes desses maravilhosos que só tocam músicas de amor. Por sermos hj o 6° país com maior casos da covid 19 poderiam fazer uma Live @coldplay ?
negativo|Me dar uma falta de ar Citar Tweet Totti Vasconcelos @souaquaman · 4 min eu depois de dar 5 passos usando máscara
negativo|. @jonasbrothers divulgou o nome do novo álbum e os fãs só descobriram agora? Entenda: http://febreteen.com.br/2020/05/jonas-brothers-divulgaram-o-nome-do-novo-album-e-os-fas-so-descobriram-agora-entenda/… RT
negativo|Em resposta a @parkluvdjk Meu off tá tremendo e quase deu falta de ar hmkk
negativo|Estou com a rinite atacada ou estou com covid?
negativo|será que eu tô com febre???
negativo|Eu tô ficando com febre, dor de ouvido, dor de garganta e dor de cabeça. Se eu falar pro meu pai o cara vai falar horrores no meu ouvido pq eu ontem estava no chão frio
negativo|Em resposta a @arigatogabriel MT resfriada e dor de garganta, mas pode ser sinusite tbm. Kkk
negativo|Em resposta a @milashabit nossa eu entendi que sua cachorra tava com tosse
negativo|dor no maxilar, no peito e na cabeça são sintomas de corona??? vou pra 3 dias assim e nada passa bicho
negativo|O Corona Vírus nunca me assustou. Eu já peguei coisa pior e ainda chamei de amor
negativo|Aqui estamos #FechadoComBolsonaroAte2026 Ainda estou muito Decepcionado com o Moro, por sair num momento com este Covid19 e a trairagem com a confiança q nós Povo, o Brasil, o JB e a Zambelli. Ir pra globoLIXO mostrar Prints e depois dar entrevista pra VejaLIXO, Triste Fim. Citar Tweet Delegado M Quezado @MarcosQuezado1 · 10 h PF vai exibir vídeo de reunião ministerial, amanhã às 8h; Moro irá a Brasília para acompanhar a exibição, acompanhado por seu advogado Rodrigo Sánchez Rios. https://noticiasaominuto.com.br/politica/1436661/pf-vai-exibir-video-de-reuniao-ministerial-amanha-as-8h-moro-vai…
negativo|Sempre penso se o mal que passei pós carnaval não foi corona, mas durou só uns 3 dias então imagino que não. Mas eu sentia dor atrás dos olhos, dor no corpo todo e um dia eu senti falta de ar Citar Tweet Luiz Yassuda @luizyassuda · 11 de mai Fiocruz diz que o vírus já circulava aqui desde janeiro e com transmissão comunitária desde Fevereiro. Ainda vou descobrir que um resfriadaço no início de março foi ou não Coronga? Vamos descobrir juntos.
negativo|Em resposta a @annagirardello Eu tava pensando a mesma coisa... antes da suspensão das aulas, fiquei catarrenta, com febre e outros sintomas de crises alérgicas. Como a doença ainda é um mistério, vai que
negativo|"o nasmaraj tá parecendo a pepita na live da pabllo kkkkkkkkkk ""gente isso aqui n eh falta de ar não, é emoção de estar cantando com vcs"""
negativo|nao sei se como ou fico limpando a coriza do nariz
negativo|Em resposta a @popsxsyl  Já usei. Cortava minha boca só quando eu dormia em cima dele. De resto, só sentia dor quando trocava o fio. Uma vez chegou a me dar febre, mas de resto, foram 9 anos suaves. Feios, mas suaves.
negativo|Em resposta a @JadyVirtuosa mas jady a febre teen é a maior uniter do planeta Terra deixe ela sonhar!
negativo|falta de ar covid ou crise de pânico
negativo|Depois do carnaval tive uma Sinusite e tosse que nunca tive antes na vida. Vai saber né... Citar Tweet Tabata Viapiana @tah_viapiana · 20 h Fiocruz diz que coronavírus chegou ao Brasil em janeiro, antes do que se sabia. Em 26 de fevereiro, quando foi anunciado oficialmente o primeiro caso, o vírus já circulava pelo país fazia um mês, destaca pesquisa. https://oglobo.globo.com/sociedade/coronavirus/coronavirus-chegou-ao-brasil-antes-do-que-se-sabia-em-janeiro-diz-fiocruz-1-24421276?utm_source=Twitter&utm_medium=Social&utm_campaign=compartilhar…
negativo|todo dia eu to com muita dor de cabeça eu já fico neurótica achando q é sintoma de covid
negativo|"A defensora do governo na @CNNBrasil no #grandedebate tenta defender o indefensável e declara ""o chefe de estado que declara apenas 'estou com covid' tem que provar assim como o chefe de estado que diz 'nao tenho covid'. O fato do cara estar doente e em isolamento não é suficente"
negativo|quando comecei a sentir dor de cabeça (por causa da tpm) já quis passar mal pensando que era covid kkkkkkkk Citar Tweet 𝔪𝔬𝔫𝔱𝔢𝔟𝔩𝔞𝔠𝔨 @mnxxgb · 8 de mai garganta querendo inflamar por causa do tempo e eu com neurose
negativo|Minha eterna dúvida de se eu ESTOU com COVID-19 e não faz muita diferença sintomática além de coriza e tosse ou se estou com coronavirus psicológico
negativo|Tosse pq aperta minha barriga e me faz fazer xixi a cada 5 minutos????
negativo|Em resposta a @popkewitz e @reumalho Foda, meu filho tem treze e não funcionou muito bem pra ele e pros colegas de turma, imagino pra crianças de 8. Estou contando este ano como ano escolar perdido. Ainda assim, muito melhor do que arriscar perder a vida com a COVID19.
negativo|Em resposta a @mcateu @Will84109833 e 3 outros Assintomático = saudável ué Nao tem sintoma. Não tosse e nao espirra. Vc do outro lado só lava a mão e ja era ta suave
negativo|Um dia chegara em que a questão da expulsão dos judeus que habitam entre outros povos, se tornara uma questão de vida ou morte, uma questão de recuperação de uma doença crônica de uma vida pacífica ou continua febre social.
negativo|Não saio de casa há séculos. Agora, estou tendo calafrios, uma pequena coriza e a garganta inflamando. Sinceramente, Brito...
negativo|Em resposta a @cureuscureus Sim cara sjskksks (ui tá lendo código da febre amo?? )
negativo|Se eu não peguei corona ontem não pego mais, um beijinho corona vírus
negativo|Desde sexta eu to com uma falta de ar que mds mas do jeito q eu sou paranóica n sei se e alguma coisa mesmo ou so trem da minha cabeça
negativo|"Eu sou o único ser humano que estou amando ead e quero que o corona acabe mas as escolas decidam "" acho bom a gente continuar assim até o final do ano"" Citar Tweet o naruto pode ser um pouco duro às vezes @friendzonejisoo · 1 h a votação do senado pra adiar o enem começou APROVEITA E PARALISA A EAD pelo amor"
negativo|Em resposta a @loboau Simmm!!!! Bah, se pá peguei covid e nem sei...
negativo|O corona vírus nunca me assustou eu já peguei coisa pior e ainda chamei de amor
negativo|Quando a vejo sinto falta de ar Será que ela me passou covid ?
negativo|Em resposta a @sunr6se e @sejuncutiepie pior q eu tô com sensação de febre mas n tô com febre ontem durante a live eu tava vendo te embaçado achei q eu ia desmaiar
negativo|"gente brasil mundo todos vcs uma causa nobre se me pagarem passagens e hospedagem em brasilia eu visto minha camisa do brasil, vou lá gritando ""mito! intervenção já"" e assim que ele aparecer na grade eu largo uma tosse na cara dele Citar Tweet G1 @g1 · 3 h Bolsonaro inclui salão, barbearia e academia como 'atividades essenciais' https://glo.bo/3biOl88 #G"
negativo|Acordei com o Gabriel cheio de febre, chega está me dando calor, dei logo um remédio
negativo|sério, cada coisa que leio sobre eu sinto uma coisa tão ruim que dá até falta de ar de raiva
negativo|corona vírus nunca me assustou, eu já peguei coisa pior e ainda chamei de amor KKKKKK na moral (?)
negativo|Em resposta a @Guilher93980847 @Alisson01kaio e @cplvinii Cara moro no interior do rj, e ja fui em manguinhos, cara conheci uma senhora com bronquite morando num quarto que nao tinha janela e ela tava com muita falta de ar
negativo|Em resposta a @marykeilaolsen Falta de ar é terrivel pq por mais que vc tenta controlar o seu cérebro meio que insiste que você tem algum problema
negativo|eu acordo com dor de garganta td dia mas hoje pq confirmaram caso em Rebouças já tô surtando pq to com dor de garganta achando q eh corona
negativo|Eu não estou falando só de COVID19 não Falo de todas as enfermidades. Isso ta me abalando muitoo.
negativo|Coronavírus: Sem ventilador, paciente morreu 'roxo por falta de ar em frente a equipe' - o caos descrito por médicos em Pernambuco - BBC News Brasil https://borgeshugo.blogspot.com/2020/05/coronavirus-sem-ventilador-paciente.html…
negativo|duda 15 anos saiu da sala pq deu uma porrada na boca do estômago do mlk e ele ficou com falta de ar e começou a passar mal, tomou suspensão de 5 dias Citar Tweet Insta: _brunobart @_BrunoBart · 9 min bruno 16 anos Saiu da sala por da um mata leão no amiguinho e sem querer aquele parasita desmaia i eu tomo suspensão de 3 dias twitter.com/gabriel_pborge…
negativo|Minha tosse alérgica anual querendo dar as caras sendo que eu ainda não gripei esse ano. Vai-te pra lá, mermã
negativo|Tirei um cochilo agora a tarde. Até sonhei que estava brigando com uma pessoa pra não sair por causa do corona,acordei já tinha anoitecido... Acho que estou paranóica...
negativo|Em resposta a @lmjbitchs eu n consigo para de olhar ela mds
negativo|Em resposta a @GloboNews Quantos casos recuperados? Coloquem esse números TB e fazem mais reportagem a respeito. Peguei covid com minha esposa e meu filho e estamos bem. Soubemos trabalhar o psicológico não dando Ibope a vcs. Vizinho infartou e veio a óbito ao saber do teste positivo dele. Culpa de vcs
negativo|Em resposta a @LoohJoaoGs2 sera que peguei covid?
negativo|Em resposta a @Rconstantino ACORDEI VOMITANDO, COM DIARRÉIA E DOR DE CABEÇA... CORONA? NÃO!!!, Foi SKOL.
negativo|Gente, coloquei corona vírus mas não estou doente não kkkkk
negativo|eu to tão exposta ao virus trabalhando nessa br que não posso ter uma dor de cabeça q eu já acho que é corona
negativo|Eu realmente não consigo compreender como cozinhar virou uma febre nas redes sociais já que não existe coisa pior do que cozinhar no cenário em que caso o contrário você morre de fome
negativo|Crl acordei agr cheia de dor de garganta e de ouvido Essa porra desse dente serve só p dar prejuízo né, vtmnc
negativo|Tomei dois banho de chuva e agora tô aqui ruim e querendo da febre
negativo|Em resposta a @nanda_oliv5 @JORGELUIZPERNI e @ronaldocaiado você já foi ao antedimento do SUS antes do #covid19? Eu fui por 4 vezes em 2018, na AMA Lapa-SP, o atendimento para passar por avaliação de um médico leva 3 horas, alguém já sentou com falta de ar por 3 horas em fila de atendimento? Então #BolsonaroTemRazao ?
negativo|Você é do grupo de risco?.Não tem falta de ar? Fiquei péssima no carnaval. Parecia que tinha sido atropelada por um trator e não, não era corona. Sem falta de ar não é covid19 Citar Tweet Wadih Damous @wadih_damous · 19 de mar Estou há 5 dias com os sintomas que exigem atenção de acordo com a área da saúde. Só não tenho dificuldade respiratória. Não consigo fazer exame para coronavírus em nenhum lugar. Estou sem direito a diagnóstico. O exame virou privilégio de algumas”personalidades”.
negativo|Me deu falta de ar só de ver isso Citar Tweet lutando @euqIute · 9 h teria coragem? 0:16 121,4 mil visualizações
negativo|"comecei a tussi meu pai veio no meu quarto ""vc tá com falta de ar?"""
negativo|ta provavelmente ninguém se importa mas eu tô no hospital não sei se é sério mas eu tava sentindo falta de ar e estou com muita dor no peito os médicos disseram que podia ser meu coração por conta do tamanho do meu amor pela any e pelo josh
negativo|Em resposta a @innerindecisive do uma rebolada e ja sinto ate falta de ar KKKKKKKKKKKK
negativo|Ele representa tds nós
negativo|Fui em todas edições da CCXP ,mas esse ano estou na dúvida! Só se Tom Hiddleston for convidado e ter sessão de foto! Com dólar alto e com a incerteza causada pelo Covid19 duvido até quer irá a ter!!! Gravações de série e filmes tudo atrasada!!
negativo|Sintomas do coronavírus: tosse, febre, coriza, dor de cabeça, dor de garganta. Então assim?!!!?????!!! Desesperada??????!!!! GIF
negativo|febre emocional cinco da manhã só para os fortes fortes na ansiedade
negativo|Em resposta a @GeorgMarques @alexandre e 5 outros ...eu estou descrente com o futuro obscuro do Brasil; Não vejo uma luz no fim do túnel; ... e não é pelo COVID-19.
negativo|ou tá mt frio ou to com febre
negativo|Em resposta a @malvadofavoritx Q tosse mané tosse
negativo|As uvas congeladas deixaram-me com dor de garganta...
negativo|Em resposta a @_juliazanotto Se soubesse q era o último role fazia pior, ia na cucko quinta ainda caindo de febre azar
negativo|to com febre por causa da RINITE e só qria tá abraçadinha ganhando carinho
negativo|testei negativo p o covid19 e durante o tempo que fiquei doente (ainda estou, mas bem melhor) só Deus sabe a aflição dos meus familiares e amigos. antes de sair por aí fazendo comentários maldosos tenham mais empatia ao próximo galera, com esse assunto não se brinca
negativo|Em resposta a @capitaotelegram Fico com falta de ar, e agora na Bahia é lei usar máscara mesmo se e for andar de bicicleta, fazer uma caminhada, você colocou o pé na rua tem que pô a máscara.
negativo|eu n to com febre dnv não ne?
negativo|Eu surto muito fácil Só hoje já assinei errado uma ATA QUE VAI PRO CARTORIO, passei mais hora pra imprimir de novo DUAS VIAS pq a impressora é lentissima, minha dog ficou com FEBRE ou mudança de temp. Corporal. SUEI MUITO E ainda esqueci de devolver pen drive pra cora
negativo|Eu lembrando da live que eu assisti pq não fui ao show................ lembro que me deu febre emocional mds
negativo|Revisando mentalmente tudo que fiz sexta feira pq uma mãe que eu recebi o bebê e até então estava assintomática fez febre logo em seguida, tava com dor de garganta e veio covid positivo Agora não sei se o que sinto é psicossomatico ou se to mesmo sentindo. #paranoia #covid
negativo|Mandei vários áudios pro meu irmão dizendo que eu to passando mal desde sexta e ele me responde: isso aí é febre do rato Não contem com o tofy pra nada.
negativo|Tem quase 3 dias que não consigo respirar direito e ñ é falta de ar de covid, é a fdp da rinite que entope tudo
negativo|Eu usei máscara hj e senti falta de ar, talvez o sintoma falta de ar seja causado pela máscara
negativo|não eh corona amigo é só tosse alérgica
negativo|Qualquer dor de garganta e aquela vozinha no fundo Será que é corona
negativo|toda semana pelo menos um dia minha mãe sente dor de garganta e fala q tá com corona virus e fica toda neurotica ai ela toma um cimelide e passa kkkkkkkkk
negativo|acabei de sentir uma pontada no coração....... será que eu to com corona? GIF
negativo|Falta de ar - corona ou ansiedade
negativo|Credo acordei super ansiosa hoje com falta de ar que issoo
negativo|Em resposta a @madibeerso nossa senhora senti até falta de ar
negativo|sim to com medo de dormir pq depois que peguei dengue toda noite eu fico com febre e tenho pesadelo
negativo|passei 2hrs no mercado e pensei que ia morrer de falta de ar com a máscara
negativo|Estou na mesma situação. Sim resposta. A fila da Caixa aqui perto de casa está virando quarteirões. Se eu for pra rua fico doente do Corona, se fico em casa fico doente de ansiedade. Tá difícil. Citar Tweet José de Abreu @zehdeabreu · 22 de abr Bolsonaro filhodaputa. twitter.com/Dani06692807/s…
negativo|Em resposta a @_minorith e @jumacalossi Na verdade coriza pode ser sintoma de covid-19 sim
negativo|O povo achando lindo sendo a capivara deve ter passado pulga, carrapato e a mulher correndo risco de contrair febre maculosa KKKKK Citar Tweet mas pq sauro @susse · 11 h atenção para o video definitivo pra se sentir bem na quarentena 0:39 131,9 mil visualizações
negativo|meu deus é cada coisa que eu tenho que ler no site ao lado que chega a dar falta de ar kk
negativo|Em resposta a @carol_hikiji eu também tô sentindo!! é só prestar atenção se aparece outros sintomas, pq só falta de ar não seria corona (por ser um único sintoma). espero que esteja tudo bem com você
negativo|E minha toalhinha de limpar coriza, porque é só o frio vir que a rinite ataca TODO DIA! Citar Tweet Francielle @frangmenezes · 9 de mai Gente, é só eu que não gosto de fazer absolutamente NADA no frio? Esfria e eu já quero logo meu edredom e minha Netflix. Hahaha
negativo|Em resposta a @hontanamaria Guaxinim novo personagem
negativo|Ontem a noite tive tanta paranoia, uma hora era uma falta de ar imaginaria, outra era que tinha alguém embaixo da cama sugando minha energia
negativo|Em resposta a @AKlHlKOkaji criiiiiido uma vez uma gravida me disse que da falta de ar no fim quando comeca a >comprimir o pulmao<
negativo|Fico com falta de ar com máscara
negativo|Minhaa Neném Tomou 3 Vacina , Tomara q nn Der Febre Nelaa
negativo|#CloroquinaÉBarataECura URGENTE NAS FARMÁCIAS PARA QUE O MÉDICO POSSA RECEITAR, JÁ NOS PRIMEIROS SINTOMAS DO COVID, ESPERAR EM CASA E SÓ BUSCAR AJUDA QUANDO TEM FALTA DE AR, PODE SER TARDE, UMA VEZ QUE NÃO HÁ LEITOS PARA INTERNAÇÃO NEM RESPIRADORES PARA TODOS. Citar Tweet Ailton Benedito @AiltonBenedito · 16 h MPF cobra do Poder Público disponibilização do Protocolo Covid-19 na rede pública de saúde. O protocolo deve fixar tratamento com hidroxicloroquina e outras medicações na fase inicial da doença. http://mpf.mp.br/pi/sala-de-imprensa/noticias-pi/mpf-cobra-do-poder-publico-disponibilizacao-do-protocolo-covid-19-na-rede-publica-de-saude… Mostrar esta sequência
negativo|Em resposta a @loundhouselisa e @BernardoMF É pq segundo seu séquito não existe covid19, é só uma gripezinha e os profissionais da saúde estão na realidade, realizando uma grande rave no Pacaembu. Aliás estou com dores nas pernas, deve ser de dançar 12 h.
negativo|Tô tendo febre só de estresse, sem condições
negativo|a falta de ar meu pai Larinha @nuneeslara · 7 de mai quem nunca viu uma onda grandona se formar tentou sair e não conseguiu e teve que correr em direção a onda pra mergulhar e tomou um chacoalhão https://twitter.com/earthvisuals/status/1053347345302253568… Mostrar esta sequência
negativo|Em resposta a @carmelonetobr @pertinax2020 e @OsmarTerra Meu irmão pegou Covid19 e apenas sentiu dor de cabeça.
negativo|"tô dormindo e entra minha mãe e minha irmã falando alto, depois entra a cachorra latindo e falam ""qndo a vanessinha acordar tu vai ver oq é bom pra tosse"" sendo q eu já tava acordada cm as duas falando alto"
negativo|o cachorro morrendo o menino ardendo em febre a mulher zanzando pela casa tem 10 páginas cê pensando pelo amor de deus faz alguma coisaaaaaaaa
negativo|Quarentena dia ???: MINHA PROFESSORA TA JOGANDO FORCA NA AULA COM A TURMA, SIM, FORCA CARA POR FAVOR SUCUMBA CORONA MORRA IMEDIATAMENTE EU NÃO ESTOU SUPORTANDO MAIS
negativo|Um deles acabou de ter o óbito confirmado. A covid-19 evolui muito rápido. Por favor, fiquem em casa! Não escutem o presidente. P.S.: Estou bem! Minha maior preocupação de momento é que meu pai esteve com ele dois dias antes da internação. É um pesadelo que não acaba nunca. Citar Tweet Ana Flávia Nóbrega @AnaFNobrega · 15 h Oficialmente com os meus primeiros familiares internados em estado grave com Covid-
negativo|a luísa não tá com falta de ar, isso é emoção
negativo|Sai de mim ansiedade, eu nem sou interessante! Não é legal ter uma tremedeira e falta de ar 04:39 da madrugada
negativo|respirar nesse frio = dor de garganta
negativo|ódio q eu n posso nem chorar pq eu fico com falta de ar pqp ódio
negativo|Subi a escada de casa e deu falta de ar, corona, rinite ou sedentarismo?
negativo|Estou muito cansado da humanidade, das pessoas não perceberem que precisamos ajudar os outros, termos mais fraternidade. Como que um presidente não é solidário com os mortos pela #COVID19 #coronavirus #coronavirusbrasil e como não são tomadas medidas urgentes para salvar o povo
negativo|"FIM DE JOGO! O CANALHA QUE APARECER NA MINHA FRENTE, DEFENDENDO BOLSONARO E PARA ABRIR TUDO E TRABALHAR, PEDE A DEUS QUE NÃO ESTEJA ARMADO, PORQUÊ VOU ATIRAR. ""Sem ventilador, paciente morreu 'roxo por falta de ar em frente a equipe' - o caos descrito por médicos em Pernambuco"" Citar Tweet Ferreira Junior #LulaInocente @frjunioradv · 14 min Sem ventilador, paciente morreu 'roxo por falta de ar em frente a equipe' - o caos descrito por médicos em Pernambuco - https://noticias.uol.com.br/ultimas-noticias/bbc/2020/05/15/sem-ventilador-paciente-morreu-roxo-por-falta-de-ar-em-frente-a-equipe---o-caos-descrito-por-medicos-em-pernambuco.htm… Mostrar esta sequência"
negativo|Em resposta a @ericoleandro reza a lenda que corona não da dor de garganta então fique tranquilo
negativo|Eu tava sem febre nem uma, aí quando chega de noite, vem tudo
negativo|Em resposta a @lfernandes97 @juans_perez e @Vessoni Estou querendo , dizer que se vc chegar ao hospital com um quadro grave de dengue ou de pneumonia , ou de AVC ou quqlqer outra doença q mata e tem matado a probalidade de adquir covid 19 durante sua internação q teria seu desfecho a morte eh imensa,porém ela não morreu de Corona
negativo|http://febremania.com.br Estudo aponta que até 53,7% dos adultos cearenses podem ser de grupo de risco para o coronavírus http://dlvr.it/RWsQgc Febre Mania - A Rádio mais quente da Web! A Rádio mais quente da Web! febremania.com.br
negativo|Em resposta a @silvaar_c e @gipriincesa Falta de ar mano
negativo|to com falta de ar e to com o cu na mao
negativo|se eu pensar que nunca mais vamos voltar, fico cm falta de ar. parece que alguém está me enforcando.
negativo|Eu não sei se sou só eu mas, eu estou com um pressentimento de que esta tragédia do corona vírus vai mudar a minha vida por completo e não no bom sentido.
negativo|Todo dia fico pensando se peguei corona na sollares ou no carnaval
negativo|Parece até que estou com febre
negativo|Em resposta a @elenalandau Acho que não pode reformar apto agora não... nem deve! Sou arquiteto e estou com obras paradas em sp por conta do covid19. Por segurança dos moradores, da equipe de obra e todos mais.
negativo|Em resposta a @fariasbolsogata e @Urameshi
negativo|estou com rinite, porém achando que estou com corona.
negativo|Segundo o Painel Rio COVID-10, os sintomas mais comuns registrados no sistema são: tosse (73%), febre (70%), coriza (31%) seguido de dor muscular, dor na garganta, dor de cabeça e dificuldade respiratório (nessa ordem). Os mais afetados tem entre 30 a 49 anos.
negativo|to ficando com muita falta de ar ultimamente que estranho
negativo|http://febremania.com.br Quarentena do desamor? Veja os famosos que se separaram! http://dlvr.it/RWhhpq Febre Mania - A Rádio mais quente da Web! A Rádio mais quente da Web! febremania.com.br
negativo|Em resposta a @DiasJuuu e @alefbraga_
negativo|Em resposta a @squanchynicius9 @GGustavo_33 e 3 outros Querido, seu direito não se sobrepõe ao direito da maioria. Isso só evoca o quão mal você é. Não é falta de caráter não, querido. É falta de empatia e maldade. Estou com covid-19 e não desejo isso a ninguém. Estava em casa, mas marido é da saúde.
negativo|#cnntodosjuntos A vacina contra a gripe apresenta alguns efeitos colaterais simples, como dor de cabeça, febre, náuseas, tosse e dor muscular. Se várias pessoas sentirem esses efeitos, não podem pensar que pegaram Coronavírus, e levar a uma corrida aos postos de saúde?
negativo|tenho falta de ar sempre quando fico nervosa e tenho alergia a poeira aí estou a dias trancada num quarto com 2 casos de covid do lado então todo dia é um medo nunca foi tão difícil ser eu
negativo|Estou num momento do se? Se eu tivesse uma babyliss Se eu tivesse meu kit completo de makes Se eu trabalhasse e tivesse dois empregos Se eu morasse sozinha Se eu tivesse um carro Se eu fosse Rica Se eu acabasse com covid Se tirasse Boso da presidência GIF
negativo|Em resposta a @BahiaNoticias Se curvam para tiranos pq gostam. Agora aguentem o que é bom pra tosse! E se sair, usem a FUCINHEIRA! Trouxas!
negativo|Toda hora tô vendo se o João Pedro tá com febre
negativo|Em resposta a @adiosnic Eu raramente tenho, mas quando tenho é quase sempre dormindo Acordo com falta de ar e n durmo mais jauhauaha
negativo|O surto está tão grande que já estou conversando com as plantas. MALDITO CORONA
negativo|tô com uma falta de ar esquisita, pela primeira vez tô torcendo pra ser ansiedade
